ruta_imagen,tipo
/train/images/1392_png.rf.0cff93c4891cf1412de96ef971310873.jpg,NBH
/train/images/1212_png.rf.a92f0931457738e80f3a5a1f84552015.jpg,NBH
/train/images/370_png.rf.673d7f6e0b494b45d56e42fccaea5a6e.jpg,NBH
/train/images/274_png.rf.e90cadb44ae6d5806228aeef677dd12e.jpg,NBH
/train/images/235_JPG.rf.00e4c988557c651c507ee8e3ae92c15f.jpg,NBH
/train/images/474_png.rf.648c608ce3bd90bb5bb22a08a7653350.jpg,NBH
/train/images/469_jpg.rf.145461d1e5a40b4629f26ae4c294eecc.jpg,NBH
/train/images/263_JPG.rf.ed8abb33a2a145cddf5fab681c1feed4.jpg,NBH
/train/images/369_jpg.rf.4f06139ccf43f6654d3d86ffdc083ad9.jpg,NBH
/train/images/496_png.rf.30f49e998dab2c05b94a14db0a822c5c.jpg,NBH
/train/images/102_png.rf.236bafe3f0c8aa4d90b4e7eaa5ac1cb3.jpg,NBH
/train/images/90_png.rf.586ac8ec76be46bcad72620137fd0c10.jpg,NBH
/train/images/269_JPG.rf.ca1224a03f0cdba3054fdaf01663a992.jpg,NBH
/train/images/451_jpg.rf.c1311f2fbf39eded9f51fea8171ef1c6.jpg,NBH
/valid/images/295_JPG.rf.d6150294ea4c0fbdbee44e45c2d399f6.jpg,NBH
/train/images/1286_png.rf.9b5e2db04de1a6964fbb01594ba21410.jpg,NBH
/valid/images/471_jpg.rf.6c141a5689a42a44eb0dd3c856997671.jpg,NBH
/train/images/443_jpg.rf.57839f775029c2115726fa6f64728ceb.jpg,NBH
/train/images/64_png.rf.e57c054f22e26d03f1b4f72a536e4168.jpg,NBH
/valid/images/460_png.rf.5edc6f778716de92d49db27221ce56a8.jpg,NBH
/train/images/1105_jpg.rf.88e97376f7711a538c44fcef237044f7.jpg,NBH
/train/images/494_png.rf.199031b3fbb57159da987f3df4cab2b5.jpg,NBH
/valid/images/290_png.rf.7fa28c076605fc19ee7821d9ba17ea02.jpg,NBH
/train/images/1_JPG.rf.82be351019b363a690c1f9394144c4d9.jpg,NBH
/train/images/265_JPG.rf.15958e35fbf97314e8d5823b32df784c.jpg,NBH
/train/images/453_jpg.rf.4dd246cc830ad74ac5fb4fd9b0624621.jpg,NBH
/train/images/168_png.rf.7d492515f173039b46371217c189dd7d.jpg,NBH
/train/images/248_png.rf.0570f2357235093dfb1b4d109df783a9.jpg,NBH
/train/images/462_png.rf.65330a47be435a12da968600e404b305.jpg,NBH
/train/images/418_png.rf.bf9a7d49c8268d181913d9289022a411.jpg,NBH
/train/images/314_png.rf.7e3a6249007beeafa1f2c44e332eec74.jpg,NBH
/train/images/1238_png.rf.a91e35e41714a59ee6e27778c08a310a.jpg,NBH
/train/images/459_jpg.rf.9fa593e0b23b2fcdf747d87d4f065240.jpg,NBH
/train/images/336_png.rf.70d96880a3a70da773a54b0da69caea9.jpg,NBH
/train/images/3_JPG.rf.48889bb592371a826b2ceb2c06d48a69.jpg,NBH
/valid/images/458_png.rf.199003b4ba6a446e0875163bf1c32e30.jpg,NBH
/valid/images/497_jpg.rf.8c05094d8ad18f4a522d855db37dcb23.jpg,NBH
/train/images/32_png.rf.343001e4aa37d963fa0d9942c1192c7b.jpg,NBH
/train/images/330_png.rf.5e80f7b69c05c72386dc9c671a2a24e2.jpg,NBH
/valid/images/144_png.rf.1b0effeb7b9450b93882158bf918708d.jpg,NBH
/train/images/1284_png.rf.45e17b6e5303f284d225a2d9da4e1946.jpg,NBH
/train/images/400_png.rf.d896a93fdbac03c84ff9fb6759abdb27.jpg,NBH
/valid/images/259_JPG.rf.096cb93255c0aa2f27a5dc146b71886c.jpg,NBH
/train/images/488_png.rf.8f480832fccaf4f9f24d6f6ab19effe0.jpg,NBH
/train/images/455_jpg.rf.0b990625cdafb9b6abdb5e7975354272.jpg,NBH
/train/images/325_JPG.rf.0d24b551ca63f842f5629f94a3a6a229.jpg,NBF
/train/images/60_png.rf.02ba237d0a88e494a6f81cf2f87a1848.jpg,NBF
/train/images/355_jpg.rf.382d2daeb3aaa54b4eacc40ec4f6e8a3.jpg,NBF
/valid/images/300_png.rf.fac4aef96d959dba7b4d462fec63c2d7.jpg,NBF
/valid/images/285_JPG.rf.ad2adcd5d9fb037cd4e9792cbd1b69b6.jpg,NBF
/train/images/379_jpg.rf.eb071917d7cc2e5650ecfa62f44f71d5.jpg,NBF
/train/images/143_JPG.rf.b600085bc58cc13dfcef2f9795fe959e.jpg,NBF
/train/images/614_png.rf.84fd96e2160fbb57ab2e43edba3af2ef.jpg,NBF
/valid/images/118_png.rf.692c0ac2fb718d3071c4e59a931278f7.jpg,NBF
/train/images/103_JPG.rf.754769f16620b6405705cc89c73715ca.jpg,NBF
/train/images/95_JPG.rf.25a5fe2e8e38ca119e5e4906bb06d003.jpg,NBF
/train/images/15_JPG.rf.29efcfc6c58ea0f56dfc3388d4c4d798.jpg,NBF
/train/images/181_JPG.rf.5db1dbedf8cb2d653c4e16bb2e79d92e.jpg,NBF
/train/images/223_JPG.rf.2b82513cd5c513155edec247d5bc68a4.jpg,NBF
/train/images/132_png.rf.2eafde728d4faeec97ce51f67a2425da.jpg,NBF
/valid/images/1278_png.rf.c4063b0c793cccdb58fecbe79877f4d7.jpg,NBF
/train/images/65_JPG.rf.75d07fe9cc57d148dffa574bc59d9c03.jpg,NBF
/train/images/362_png.rf.cad0a26b2ba4818e259229bdef53c0aa.jpg,NBF
/train/images/328_png.rf.f26a0e556c05be000d358049026dde41.jpg,NBF
/train/images/333_JPG.rf.5b1600f8f74f60b5c6e36f1af6dd2b90.jpg,NBF
/train/images/11_JPG.rf.3af5c363c04a46fca0dce59590da48b5.jpg,NBF
/valid/images/358_png.rf.ee381a570d4a83608a460ba539375935.jpg,NBF
/train/images/321_JPG.rf.ac9aad5fc99a121c379455cdd7a8a26c.jpg,NBF
/train/images/363_jpg.rf.6f0c804e15a61063984d5086f313bafe.jpg,NBF
/train/images/417_jpg.rf.b5d0c415c629f85245aeca7172613b4b.jpg,NBF
/train/images/386_png.rf.f0de97fe09b96e1c7d4a7cff762497e7.jpg,NBF
/train/images/1002_png.rf.293efea84e8fdb20a7d138a23683093a.jpg,NBF
/train/images/480_png.rf.cae1777d62b5e1a53b88797bd993a57a.jpg,NBF
/train/images/84_png.rf.693bc33cb187ea31cbd66641fc2c722d.jpg,NBF
/train/images/273_JPG.rf.0ca868411c727885b683adab01d5f212.jpg,NBF
/train/images/49_JPG.rf.f9691debfc619bd08d879ef8aad26c7f.jpg,NBF
/train/images/251_JPG.rf.11b8ef46f7f5ed636d4eaa7f2b67df7c.jpg,NBF
/train/images/387_jpg.rf.3f62c057403543d28c831bdd0b5d754c.jpg,NBF
/test/images/414_png.rf.828bb90201ccd05fd038a4d5f6a72365.jpg,NBF
/valid/images/792_png.rf.1c44abe1395a2fa3e7e7e15084880fc5.jpg,NBF
/train/images/430_png.rf.0a9ef480d7ffe07fe948d700ec241f5a.jpg,NBF
/train/images/376_png.rf.eb432d0e26623b56c82f5f140a1c196b.jpg,NBF
/train/images/233_JPG.rf.d21214682a26f926a0bcece9483badb3.jpg,NBF
/test/images/303_JPG.rf.a2d548c721fbe497f777dad32eae242b.jpg,NBF
/train/images/10_png.rf.2bb4801aa63a6070814528d2d7fed3a2.jpg,NBF
/train/images/284_png.rf.6018dbed11d3e96178b70d88ad9b0ad6.jpg,NBF
/train/images/307_JPG.rf.4542b7f2fe9ea4938ba1862387a541f9.jpg,NBF
/valid/images/1102_png.rf.d9edd74a126099c8a3e2fda1d0c6ff7f.jpg,NBF
/valid/images/187_JPG.rf.329dab524756b65ae30a8af7ee6b4a54.jpg,NBF
/train/images/241_JPG.rf.6e90c823e2f54986e021e0045d3beb07.jpg,NBF
/train/images/234_png.rf.13f04eb891bf0ad02425444197e9f9e2.jpg,NBF
/train/images/59_JPG.rf.f8876d97ad7f16f52f2794cf3ba8b5cf.jpg,NBF
/train/images/131_JPG.rf.0eafc26a99966b9dd7feff29fc33a47d.jpg,NBF
/train/images/790_png.rf.2be15213b7bc48b11e99aeafb383acce.jpg,NBF
/train/images/407_jpg.rf.d9240a1b14a4bb5d2ba6720d11065035.jpg,NBF
/train/images/278_png.rf.7fccdc0cfe43387143f706b59241a21c.jpg,NBF
/valid/images/359_jpg.rf.0ea5b840e8a0beac5bd89e1b23a9078f.jpg,NBF
/train/images/490_png.rf.7c2bac4eb5fd793f2b3c78b827b52fb1.jpg,NBF
/train/images/610_png.rf.b711e3b8f93d3e1e0a493c5a4a557613.jpg,NBF
/train/images/163_JPG.rf.8504b27be7f4de995316723a8007e590.jpg,NBF
/train/images/1005_jpg.rf.ba991e4d6d878160e6cc7b87c31a0679.jpg,NBF
/train/images/424_png.rf.d6f0dca5c942a8089d672e6e4a61dbc4.jpg,NBF
/train/images/224_png.rf.6782a0de06adea1f5ead99498af17150.jpg,NBF
/train/images/320_png.rf.942061d7a489033e55d1ac4fa737bc76.jpg,NBF
/valid/images/57_JPG.rf.f5256923af83090a8f06c889511f0956.jpg,NBF
/train/images/287_JPG.rf.e2faf0b6b5a87dfe8f0619a8e983042f.jpg,NBF
/train/images/107_JPG.rf.8a788540ca5f42694ae3d0800bdd0e42.jpg,NBF
/train/images/299_JPG.rf.c7c8b389c83e82cb42286c69b2387fe4.jpg,NBF
/valid/images/660_png.rf.ff54a29d02605b8fd8c2608c2e4ebeef.jpg,NBF
/train/images/9_JPG.rf.1d52abd999bb56701a58543ae3f61f9b.jpg,NBF
/test/images/225_JPG.rf.254cf4572703c816b917a463c4870d5c.jpg,NBF
/train/images/508_png.rf.9b7af1bc78c6d885a9f7d55b20838fe7.jpg,NBF
/valid/images/43_JPG.rf.a190db9ba9e534186589869e27db19bf.jpg,NBF
/train/images/236_png.rf.4a858cf41b346b2b647f28eb21e6aae3.jpg,NBF
/valid/images/142_png.rf.a1cadfd15c9a363a000dceec5f5ee494.jpg,NBF
/valid/images/1741_jpg.rf.fe7ad255b31c7574ca9062c7350d5d3b.jpg,NBF
/valid/images/35_JPG.rf.2eefd5efe857b164efc034f519d08b17.jpg,NBF
/train/images/461_jpg.rf.d6717051c7a9b331e2f85fc7f43af21f.jpg,NBF
/train/images/37_JPG.rf.7ca2745ccdabdea1ffe8d7c4f50b5668.jpg,NBF
/train/images/63_JPG.rf.c268f005a5500afa1e43892a9c6e91d9.jpg,NBF
/train/images/121_JPG.rf.995621762884acd40b830b5295b7b044.jpg,NBF
/train/images/1352_png.rf.d6506a48e40b83a2915672092eab06da.jpg,NBF
/train/images/272_png.rf.0f10d16ec105bef87e0ecd709c91b42d.jpg,NBF
/train/images/436_png.rf.39d24ed03822d83b2d816137bf98a0ef.jpg,NBF
/train/images/345_JPG.rf.3845c71838cfefe201df1cca83397a28.jpg,NBF
/train/images/416_png.rf.b5cef5a902ec5a3b2b803f734e5a90a9.jpg,NBF
/train/images/93_JPG.rf.0a8f4cf629c0e5cc81599fd8220bdb57.jpg,NBF
/train/images/1012_png.rf.2cd3ee417295c4abe3f7bbeb22b47999.jpg,NBF
/train/images/380_png.rf.01884d45b0c01853ba46f9f4f8cfb6e7.jpg,NBF
/train/images/323_JPG.rf.aa5120d6756d57128a0df5b11ef8643a.jpg,NBF
/valid/images/834_png.rf.b55a03bbec0fb83776f1a69ccfb69ad6.jpg,NBF
/valid/images/335_JPG.rf.c840a1856dc136ac562f6139a7f6070c.jpg,NBF
